,AD1_AD2,AD3_AD4,AD5_AD6,Ct1_Ct2,Ct3_Ct4,Ct5_Ct6
TMEM51,0.010416666666666666,0.029787234042553193,0.02127659574468085,0.024096385542168676,0.05275498241500586,0.03235294117647059
EFHD2,0.020833333333333332,0.00851063829787234,0.0070921985815602835,0.006024096385542169,0.005861664712778429,0.0029411764705882353
CASP9,0.052083333333333336,0.02553191489361702,0.0425531914893617,0.03614457831325301,0.06916764361078546,0.061764705882352944
DNAJC16,0.041666666666666664,0.0851063829787234,0.0425531914893617,0.04819277108433735,0.06213364595545135,0.05588235294117647
DDI2,0.020833333333333332,0.03404255319148936,0.014184397163120567,0.04216867469879518,0.05744431418522861,0.047058823529411764
PLEKHM2,0.041666666666666664,0.0851063829787234,0.05673758865248227,0.03614457831325301,0.05861664712778429,0.05
UQCRHL,0.041666666666666664,0.04680851063829787,0.04964539007092199,0.03614457831325301,0.04806565064478312,0.029411764705882353
SPEN,0.13541666666666666,0.2,0.1773049645390071,0.12650602409638553,0.16178194607268465,0.12941176470588237
ZBTB17,0.020833333333333332,0.029787234042553193,0.05673758865248227,0.018072289156626505,0.02579132473622509,0.026470588235294117
FBXO42,0.08333333333333333,0.19148936170212766,0.0851063829787234,0.04216867469879518,0.1242672919109027,0.09411764705882353
SZRD1,0.08333333333333333,0.05531914893617021,0.028368794326241134,0.05421686746987952,0.05041031652989449,0.03823529411764706
NECAP2,0.020833333333333332,0.02127659574468085,0.03546099290780142,0.04819277108433735,0.05275498241500586,0.041176470588235294
NBPF1,0.041666666666666664,0.14468085106382977,0.14893617021276595,0.12048192771084337,0.13481828839390386,0.11029411764705882
CROCC,0.09375,0.07234042553191489,0.1347517730496454,0.0783132530120482,0.07151230949589683,0.1
RP1-37C10.3,0.020833333333333332,0.01276595744680851,0.0070921985815602835,0.012048192771084338,0.01406799531066823,0.004411764705882353
ATP13A2,0.10416666666666667,0.08936170212765958,0.02127659574468085,0.05421686746987952,0.06213364595545135,0.041176470588235294
SDHB,0.041666666666666664,0.08936170212765958,0.05673758865248227,0.09036144578313253,0.08206330597889801,0.052941176470588235
PADI2,0.052083333333333336,0.17872340425531916,0.10638297872340426,0.08433734939759036,0.11019929660023446,0.07794117647058824
RCC2,0.052083333333333336,0.0851063829787234,0.05673758865248227,0.012048192771084338,0.02813599062133646,0.03529411764705882
